cod_materia;nome_materia;cod_departamento;sigla_departamento;nome_departamento;creditos
209473;Seminário em Educaçao Musical 4                                       ;165;MUS         ;Departamento de Música                            ;2
209481;Seminário em Educaçao Musical 5                                       ;165;MUS         ;Departamento de Música                            ;2
209490;Seminário em Educaçao Musical 6                                       ;165;MUS         ;Departamento de Música                            ;2
101699;Seminário em Engenharia de Produçao                                   ;308;EPR         ;Departamento de Engenharia de Produçao;4
311553;Seminário em Engenharia de Sistemas Eletrônicos e de Automaçao        ;138;ENE         ;Departamento de Engenharia Elétrica.              ;2
303399;Seminário em Engenharia Elétrica 1                                    ;138;ENE         ;Departamento de Engenharia Elétrica.              ;2
303402;Seminário em Engenharia Elétrica 2                                    ;138;ENE         ;Departamento de Engenharia Elétrica.              ;2
315532;Seminário em Estatística e Métodos Quantitativos                      ;107;EST         ;Departamento de Estatística                       ;1
379751;Seminário em Farmacologia de Produtos Naturais                        ;21;FS          ;Faculdade de Ciencias da Saúde                    ;2
311782;Seminário em Física Atômica e Molecular 2                             ;31;IFD         ;Instituto de Física                               ;2
311791;Seminário em Física Atômica e Molecular 3                             ;31;IFD         ;Instituto de Física                               ;3
311804;Seminário em Física Atômica e Molecular 4                             ;31;IFD         ;Instituto de Física                               ;4
311812;Seminário em Física Matemática 2                                      ;31;IFD         ;Instituto de Física                               ;2
311821;Seminário em Física Matemática 3                                      ;31;IFD         ;Instituto de Física                               ;3
311839;Seminário em Física Matemática 4                                      ;31;IFD         ;Instituto de Física                               ;4
394661;Seminário em Geografia - Doutorado                                    ;118;GEA         ;Departamento de Geografia                         ;4
362484;Seminário em Geotecnia 1                                              ;137;ENC         ;Departamento de Engenharia Civil e Ambiental      ;1
365041;Seminário em Geotecnia 2                                              ;137;ENC         ;Departamento de Engenharia Civil e Ambiental      ;1
382493;Seminário em Gestao da Informaçao e do Conhecimento                   ;33;FCI         ;Faculdade de Ciencia da Informaçao                ;4
300683;Seminário em Gestao Social e Trabalho                                 ;25;FACE        ;Faculd. de Economia; Administraçao e Contabilidade;4
391263;SEMINARIO EM HISTORIA DA EDUCACAO BRASILEIRA                          ;149;TEF         ;Departamento de Teoria e Fundamentos              ;4
140457;SEMINARIO EM LATIM                                                    ;124;LIP         ;Departamento de Linguística; Portugues; Líng Clás ;4
312991;Seminário em Literatura e Práticas Sociais                            ;125;TEL         ;Departamento de Teoria Literária e Literatura     ;2
391310;SEMINARIO EM METODOS E TECNICAS DE PESQUISA EDUCACIONAL               ;149;TEF         ;Departamento de Teoria e Fundamentos              ;4
309982;Seminário em Neurociencias do Comportamento                           ;255;PPB         ;Departamento de Processos Psicologicos Básicos    ;4
303224;Seminário em Neuromodulaçao 1                                         ;32;FMD         ;Faculdade de Medicina                             ;2
303232;Seminário em Neuromodulaçao 2                                         ;32;FMD         ;Faculdade de Medicina                             ;2
317977;Seminário em Nutriçao                                                 ;21;FS          ;Faculdade de Ciencias da Saúde                    ;2
306924;Seminário em Odontologia 1                                            ;21;FS          ;Faculdade de Ciencias da Saúde                    ;3
382761;Seminário em Organizaçao da Informaçao                                ;33;FCI         ;Faculdade de Ciencia da Informaçao                ;4
355224;Seminário em Planejamento Urbano no Brasil                            ;129;URB         ;Departamento de Urbanismo                         ;2
325082;Seminário em Psicologia 1                                             ;255;PPB         ;Departamento de Processos Psicologicos Básicos    ;4
325091;Seminário em Psicologia 2                                             ;257;PCL         ;Departamento de Psicologia Clínica                ;2
325104;Seminário em Psicologia 3                                             ;256;PED         ;Departamento de Psic.Escolar e do Desenvolvimento ;4
325112;Seminário em Psicologia 4                                             ;256;PED         ;Departamento de Psic.Escolar e do Desenvolvimento ;4
325121;Seminário em Psicologia 5                                             ;255;PPB         ;Departamento de Processos Psicologicos Básicos    ;4
325139;Seminário em Psicologia 6                                             ;257;PCL         ;Departamento de Psicologia Clínica                ;4
