cod_oferta;turma;vagas_oferecidas;periodo;matricula_professor;cod_materia;sigla_departamento
653105;A ;35;20181;1034774;116459;CIC         
662814;B ;20;20181;1036602;316482;CIC         
662814;B ;20;20181;1036602;316482;CIC         
662814;B ;20;20181;1036602;316482;CIC         
662814;B ;20;20181;1036602;316482;CIC         
664223;A ;15;20181;1013955;117579;CIC         
664223;A ;15;20181;1013955;117579;CIC         
657591;A ;30;20181;1034774;121649;CIC         
657640;A ;30;20181;1034774;121631;CIC         
657640;A ;30;20181;1034774;121631;CIC         
658357;C ;10;20181;1048571;116297;CIC         
658357;C ;10;20181;1048571;116297;CIC         
658357;C ;10;20181;1048571;116297;CIC         
658357;C ;10;20181;1048571;116297;CIC         
658357;C ;10;20181;1048571;116297;CIC         
658357;C ;10;20181;1048571;116297;CIC         
670828;B ;30;20182;143448;117366;CIC         
670828;B ;30;20182;143448;117366;CIC         
678351;M ;15;20182;1035746;116297;CIC         
678351;M ;15;20182;1035746;116297;CIC         
678351;M ;15;20182;1035746;116297;CIC         
678351;M ;15;20182;1035746;116297;CIC         
678351;M ;15;20182;1035746;116297;CIC         
678351;M ;15;20182;1035746;116297;CIC         
681334;A ;40;20182;1094122;116831;CIC         
681334;A ;40;20182;1094122;116831;CIC         
681334;A ;40;20182;1094122;116831;CIC         
681901;A ;10;20182;149870;116068;CIC         
681901;A ;10;20182;149870;116068;CIC         
681901;A ;10;20182;149870;116068;CIC         
681901;A ;10;20182;149870;116068;CIC         
681901;A ;10;20182;149870;116068;CIC         
681901;A ;10;20182;149870;116068;CIC         
681901;A ;10;20182;149870;116068;CIC         
681901;A ;10;20182;149870;116068;CIC         
681901;A ;10;20182;149870;116068;CIC         
654917;H ;25;20181;1050711;113913;CIC         
654917;H ;25;20181;1050711;113913;CIC         
654917;H ;25;20181;1050711;113913;CIC         
654917;H ;25;20181;1050711;113913;CIC         
654917;H ;25;20181;1070380;113913;CIC         
654917;H ;25;20181;1070380;113913;CIC         
654917;H ;25;20181;1070380;113913;CIC         
654917;H ;25;20181;1070380;113913;CIC         
657637;A ;30;20181;1035011;121771;CIC         
657637;A ;30;20181;1035011;121771;CIC         
668914;B ;40;20182;63304;116343;CIC         
668914;B ;40;20182;63304;116343;CIC         
672071;M ;26;20182;1070380;113913;CIC         
672071;M ;26;20182;1070380;113913;CIC         
672071;M ;26;20182;1070380;113913;CIC         
672071;M ;26;20182;1070380;113913;CIC         
648663;A ;20;20181;504211;116530;CIC         
648663;A ;20;20181;504211;116530;CIC         
652731;A ;40;20181;1011693;116572;CIC         
652731;A ;40;20181;1011693;116572;CIC         
652731;A ;40;20181;1011693;116572;CIC         
652731;A ;40;20181;1011693;116572;CIC         
652731;A ;40;20181;1011693;116572;CIC         
652731;A ;40;20181;1011693;116572;CIC         
653561;A ;40;20181;143448;117366;CIC         
653561;A ;40;20181;143448;117366;CIC         
660547;A ;30;20181;131032;117404;CIC         
660547;A ;30;20181;131032;117404;CIC         
670419;A ;35;20182;1034774;116459;CIC         
670419;A ;35;20182;1034774;116459;CIC         
670419;A ;35;20182;1034774;116459;CIC         
679552;A ;20;20182;997536;116611;CIC         
679552;A ;20;20182;997536;116611;CIC         
650257;B ;25;20181;121754;116823;CIC         
650257;B ;25;20181;121754;116823;CIC         
650257;B ;25;20181;121754;116823;CIC         
656643;A ;30;20181;1027654;117587;CIC         
656643;A ;30;20181;1027654;117587;CIC         
672073;F ;25;20182;1070380;113913;CIC         
672073;F ;25;20182;1070380;113913;CIC         
672073;F ;25;20182;1070380;113913;CIC         
672073;F ;25;20182;1070380;113913;CIC         
674334;A ;20;20182;1027735;122891;CIC         
674334;A ;20;20182;1027735;122891;CIC         
654926;J ;25;20181;1050711;113913;CIC         
654926;J ;25;20181;1050711;113913;CIC         
654926;J ;25;20181;1070380;113913;CIC         
654926;J ;25;20181;1070380;113913;CIC         
654926;J ;25;20181;1070380;113913;CIC         
654926;J ;25;20181;1070380;113913;CIC         
654926;J ;25;20181;1050711;113913;CIC         
654926;J ;25;20181;1050711;113913;CIC         
660551;E ;20;20181;1035011;116297;CIC         
660551;E ;20;20181;1035011;116297;CIC         
660551;E ;20;20181;1035011;116297;CIC         
660551;E ;20;20181;1035011;116297;CIC         
660551;E ;20;20181;1035011;116297;CIC         
660551;E ;20;20181;1035011;116297;CIC         
671537;A ;35;20182;1096214;116416;CIC         
671537;A ;35;20182;1096214;116416;CIC         
671537;A ;35;20182;1012606;116416;CIC         
671537;A ;35;20182;1012606;116416;CIC         
671537;A ;35;20182;1096214;116416;CIC         
671537;A ;35;20182;1096214;116416;CIC         
671537;A ;35;20182;1012606;116416;CIC         
671537;A ;35;20182;1012606;116416;CIC         
672069;K ;25;20182;1070380;113913;CIC         
672069;K ;25;20182;1070380;113913;CIC         
672069;K ;25;20182;1070380;113913;CIC         
672069;K ;25;20182;1070380;113913;CIC         
672081;J ;25;20182;1070380;113913;CIC         
672081;J ;25;20182;1070380;113913;CIC         
672081;J ;25;20182;1070380;113913;CIC         
672081;J ;25;20182;1070380;113913;CIC         
674030;A ;30;20182;149870;121771;CIC         
674030;A ;30;20182;149870;121771;CIC         
653081;A ;40;20181;1027735;117251;CIC         
653081;A ;40;20181;1027735;117251;CIC         
654921;N ;25;20181;1050711;113913;CIC         
654921;N ;25;20181;1050711;113913;CIC         
654921;N ;25;20181;1070380;113913;CIC         
654921;N ;25;20181;1070380;113913;CIC         
654921;N ;25;20181;1070380;113913;CIC         
654921;N ;25;20181;1070380;113913;CIC         
654921;N ;25;20181;1050711;113913;CIC         
654921;N ;25;20181;1050711;113913;CIC         
654922;L ;25;20181;1070380;113913;CIC         
654922;L ;25;20181;1070380;113913;CIC         
654922;L ;25;20181;1070380;113913;CIC         
654922;L ;25;20181;1070380;113913;CIC         
670109;A ;1;20182;1049119;207438;CIC         
670109;A ;1;20182;1049119;207438;CIC         
670109;A ;1;20182;1049119;207438;CIC         
670109;A ;1;20182;1049119;207438;CIC         
670109;A ;1;20182;1049119;207438;CIC         
672076;N ;25;20182;1070380;113913;CIC         
672076;N ;25;20182;1070380;113913;CIC         
672076;N ;25;20182;1070380;113913;CIC         
672076;N ;25;20182;1070380;113913;CIC         
654916;M ;26;20181;1070380;113913;CIC         
654916;M ;26;20181;1070380;113913;CIC         
654916;M ;26;20181;1070380;113913;CIC         
654916;M ;26;20181;1070380;113913;CIC         
654918;F ;25;20181;1070380;113913;CIC         
654918;F ;25;20181;1070380;113913;CIC         
654918;F ;25;20181;1070380;113913;CIC         
654918;F ;25;20181;1070380;113913;CIC         
654927;I ;25;20181;1070380;113913;CIC         
654927;I ;25;20181;1070380;113913;CIC         
654927;I ;25;20181;1070380;113913;CIC         
654927;I ;25;20181;1070380;113913;CIC         
658239;A ;20;20181;1027735;122891;CIC         
658239;A ;20;20181;1027735;122891;CIC         
654915;B ;25;20181;1070380;113913;CIC         
654915;B ;25;20181;1070380;113913;CIC         
654915;B ;25;20181;1070380;113913;CIC         
654915;B ;25;20181;1070380;113913;CIC         
657565;A ;30;20181;1036602;117943;CIC         
657565;A ;30;20181;1036602;117943;CIC         
665845;B ;45;20182;1034448;116327;CIC         
665845;B ;45;20182;1034448;116327;CIC         
665845;B ;45;20182;1034448;116327;CIC         
665845;B ;45;20182;1034448;116327;CIC         
672070;B ;25;20182;1070380;113913;CIC         
672070;B ;25;20182;1070380;113913;CIC         
672070;B ;25;20182;1070380;113913;CIC         
672070;B ;25;20182;1070380;113913;CIC         
672080;G ;25;20182;1070380;113913;CIC         
672080;G ;25;20182;1070380;113913;CIC         
672080;G ;25;20182;1070380;113913;CIC         
672080;G ;25;20182;1070380;113913;CIC         
676330;A ;30;20182;1013955;117579;CIC         
676330;A ;30;20182;1013955;117579;CIC         
680262;A ;25;20182;149667;316032;CIC         
680262;A ;25;20182;149667;316032;CIC         
655713;B ;40;20181;1011693;116572;CIC         
655713;B ;40;20181;1011693;116572;CIC         
655713;B ;40;20181;1011693;116572;CIC         
655713;B ;40;20181;1011693;116572;CIC         
655713;B ;40;20181;1011693;116572;CIC         
655713;B ;40;20181;1011693;116572;CIC         
659910;D ;40;20181;1013955;116319;CIC         
659910;D ;40;20181;1013955;116319;CIC         
671538;B ;35;20182;1096214;116416;CIC         
671538;B ;35;20182;1096214;116416;CIC         
671538;B ;35;20182;1096214;116416;CIC         
671538;B ;35;20182;1096214;116416;CIC         
671538;B ;35;20182;1012606;116416;CIC         
671538;B ;35;20182;1012606;116416;CIC         
671538;B ;35;20182;1012606;116416;CIC         
671538;B ;35;20182;1012606;116416;CIC         
672077;L ;25;20182;1070380;113913;CIC         
672077;L ;25;20182;1070380;113913;CIC         
672077;L ;25;20182;1070380;113913;CIC         
672077;L ;25;20182;1070380;113913;CIC         
648578;A ;20;20181;986551;116351;CIC         
648578;A ;20;20181;986551;116351;CIC         
648578;A ;20;20181;986551;116351;CIC         
648579;B ;20;20181;986551;116351;CIC         
648579;B ;20;20181;986551;116351;CIC         
648579;B ;20;20181;986551;116351;CIC         
648580;C ;20;20181;1095315;116351;CIC         
648580;C ;20;20181;1095315;116351;CIC         
648580;C ;20;20181;1095315;116351;CIC         
649271;B ;30;20181;1032585;116394;CIC         
649271;B ;30;20181;1032585;116394;CIC         
653560;B ;30;20181;986721;117366;CIC         
653560;B ;30;20181;986721;117366;CIC         
654920;E ;25;20181;1050711;113913;CIC         
654920;E ;25;20181;1050711;113913;CIC         
654920;E ;25;20181;1070380;113913;CIC         
654920;E ;25;20181;1070380;113913;CIC         
654920;E ;25;20181;1050711;113913;CIC         
654920;E ;25;20181;1050711;113913;CIC         
654920;E ;25;20181;1070380;113913;CIC         
654920;E ;25;20181;1070380;113913;CIC         
659913;A ;25;20181;1011901;117552;CIC         
659913;A ;25;20181;1011901;117552;CIC         
659955;D ;30;20181;1032585;116394;CIC         
659955;D ;30;20181;1032585;116394;CIC         
659991;A ;21;20181;1103687;116793;CIC         
659991;A ;21;20181;1103687;116793;CIC         
670103;A ;40;20182;1011693;116572;CIC         
670103;A ;40;20182;1011693;116572;CIC         
670103;A ;40;20182;1011693;116572;CIC         
670103;A ;40;20182;1011693;116572;CIC         
670103;A ;40;20182;1011693;116572;CIC         
670103;A ;40;20182;1011693;116572;CIC         
648581;D ;20;20181;1095315;116351;CIC         
648581;D ;20;20181;1095315;116351;CIC         
648581;D ;20;20181;1095315;116351;CIC         
652056;A ;40;20181;1054791;116424;CIC         
652056;A ;40;20181;1054791;116424;CIC         
652056;A ;40;20181;1054791;116424;CIC         
652056;A ;40;20181;1054791;116424;CIC         
654923;C ;26;20181;1070380;113913;CIC         
654923;C ;26;20181;1070380;113913;CIC         
654923;C ;26;20181;1050711;113913;CIC         
654923;C ;26;20181;1050711;113913;CIC         
654923;C ;26;20181;1070380;113913;CIC         
