cod_disciplina;nome_disciplina;creditos;cod_departamento;sigla_departamento;nome_departamento
108979;Teoria e História da Arte e da Imagem no Espaço/Tempo 1               ;4;163;VIS         ;Departamento de Artes Visuais                     
108987;Recursos Hídricos Para Ciencias Ambientais                            ;6;28;IGD         ;Instituto de Geociencias                          
108995;Sistemas Agroflorestais                                               ;4;140;EFL         ;Departamento de Engenharia Florestal              
109002;Introduçao r Farmácia                                                 ;2;96;FCE         ;UnB - Faculdade da Ceilândia                      
109011;Tópicos Especiais em Microeletrônica                                  ;4;138;ENE         ;Departamento de Engenharia Elétrica.              
109029;Laboratório de Econometria                                            ;4;160;ECO         ;Departamento de Economia                          
109037;Estágio Supervisionado Psicólogo - Área Soc. Trab. e Org. 4           ;12;258;PST         ;Departamento de Psicologia Social e do Trabalho   
109045;Estágio Supervisionado Psicólogo - Área Soc. Trab. e Org. 5           ;12;258;PST         ;Departamento de Psicologia Social e do Trabalho   
109053;Intercâmbio Internacional                                             ;16;87;IREL        ;Instituto de Relaçoes Internacionais              
109061;Tópicos Especiais em Introduçao ao Estudo das Relaçoes Internacionais ;4;87;IREL        ;Instituto de Relaçoes Internacionais              
109070;Estágio Supervisionado em Ingles 1                                    ;14;126;LET         ;Departamento de Línguas Estrangeiras e Traduçao   
109088;Estágio Supervisionado em Ingles 2                                    ;14;126;LET         ;Departamento de Línguas Estrangeiras e Traduçao   
109096;Estudos Orientados em Pesquisa em Saúde e Enfermagem 1                ;2;232;ENF         ;Departamento de Enfermagem                        
109100;Estudos Orientados em Pesquisa em Saúde e Enfermagem 2                ;1;232;ENF         ;Departamento de Enfermagem                        
