cod_disciplina;nome_disciplina;creditos;cod_departamento;sigla_departamento;nome_departamento
106747;Teoria e História da Arte e da Imagem no Espaço/Tempo 2               ;4;163;VIS         ;Departamento de Artes Visuais                     
106755;Computaçao em Estatística 1                                           ;2;107;EST         ;Departamento de Estatística                       
106763;Computaçao em Estatística 2                                           ;4;107;EST         ;Departamento de Estatística                       
106771;Estatística Computacional                                             ;4;107;EST         ;Departamento de Estatística                       
106780;Inferencia Bayesiana                                                  ;4;107;EST         ;Departamento de Estatística                       
106798;Técnicas de Amostragem 2                                              ;4;107;EST         ;Departamento de Estatística                       
106801;Estatística Espacial                                                  ;4;107;EST         ;Departamento de Estatística                       
106810;Laboratório de Estatística 1                                          ;4;107;EST         ;Departamento de Estatística                       
106828;Laboratório de Estatística 2                                          ;4;107;EST         ;Departamento de Estatística                       
106836;Consultoria                                                           ;4;107;EST         ;Departamento de Estatística                       
106844;Modelos Lineares Generalizados                                        ;4;107;EST         ;Departamento de Estatística                       
106852;Análise de Séries Temporais 2                                         ;4;107;EST         ;Departamento de Estatística                       
106861;Demografia 2                                                          ;4;107;EST         ;Departamento de Estatística                       
106879;Teoria da Resposta ao Ítem                                            ;4;107;EST         ;Departamento de Estatística                       
106887;Tópicos em Estatística 1                                              ;4;107;EST         ;Departamento de Estatística                       
106895;Modelos líneares                                                      ;4;107;EST         ;Departamento de Estatística                       
106909;Políticas Públicas em Educaçao Física, Esporte, Saúde e Lazer         ;4;29;FEF         ;Faculdade de Educaçao Física                      
106917;Fundamentos Históricos-Filosófico da Educaçao Física                  ;4;29;FEF         ;Faculdade de Educaçao Física                      
106925;Fundamentos Sócio-Antropológico da Educaçao Física                    ;4;29;FEF         ;Faculdade de Educaçao Física                      
106933;Estágio Supervisionado Avançado em Educaçao Física                    ;10;29;FEF         ;Faculdade de Educaçao Física                      
106950;Administraçao em Educaçao Física                                      ;4;29;FEF         ;Faculdade de Educaçao Física                      
106968;Métodos e Técnicas de Pesquisa em Educaçao Física                     ;4;29;FEF         ;Faculdade de Educaçao Física                      
106976;Fisiologia do Exercício 1                                             ;4;29;FEF         ;Faculdade de Educaçao Física                      
106984;Anatomia Aplicada a Educaçao Física                                   ;4;29;FEF         ;Faculdade de Educaçao Física                      
106992;Fisiologia do Exercício 2                                             ;4;29;FEF         ;Faculdade de Educaçao Física                      
107000;Prevençao de Acidentes e Primeiros Socorros                           ;4;29;FEF         ;Faculdade de Educaçao Física                      
107018;Cinesiologia Aplicada a Educaçao Física                               ;4;29;FEF         ;Faculdade de Educaçao Física                      
107026;Metodologia das Atividades Gímnicas                                   ;4;29;FEF         ;Faculdade de Educaçao Física                      
107034;Metodologia da Dança e Expressao                                      ;4;29;FEF         ;Faculdade de Educaçao Física                      
107042;Metodologia do Atletismo                                              ;4;29;FEF         ;Faculdade de Educaçao Física                      
107051;Nataçao                                                               ;4;29;FEF         ;Faculdade de Educaçao Física                      
107069;Metodologia dos Jogos                                                 ;4;29;FEF         ;Faculdade de Educaçao Física                      
107077;Principio do Treinamento Resistido                                    ;4;29;FEF         ;Faculdade de Educaçao Física                      
107085;Fundamentos Teóricos-Metodológicos da Educaçao Física                 ;4;29;FEF         ;Faculdade de Educaçao Física                      
107093;Ciencia e Pesquisa em Educaçao Física                                 ;2;29;FEF         ;Faculdade de Educaçao Física                      
107107;Estatística Aplicada a Educaçao Física                                ;2;29;FEF         ;Faculdade de Educaçao Física                      
107115;Execuçao do Projeto de Trabalho de Conclusao do Curso                 ;4;29;FEF         ;Faculdade de Educaçao Física                      
107131;Estudos e Pesquisa em Educaçao Física Escolar                         ;4;29;FEF         ;Faculdade de Educaçao Física                      
107140;Metodologia das Modalidades Esportivas Coletivas                      ;4;29;FEF         ;Faculdade de Educaçao Física                      
107158;Metodologia das Lutas e Artes Marciais                                ;4;29;FEF         ;Faculdade de Educaçao Física                      
107166;Fundamentos do Desenv e Aprendiz Aplicados a Educ Fís Infantil        ;4;29;FEF         ;Faculdade de Educaçao Física                      
107174;Fundamentos do Desenv e Aprendiz Aplicados a Educ Fís no Ens Fund     ;4;29;FEF         ;Faculdade de Educaçao Física                      
107182;Aspectos Psicológicos da Aprendizagem Aplicados a Educaçao Física     ;2;29;FEF         ;Faculdade de Educaçao Física                      
107191;Educaçao Física e Práticas Corporais                                  ;4;29;FEF         ;Faculdade de Educaçao Física                      
107204;Educaçao Física: Leis, Normas e Políticas                             ;4;29;FEF         ;Faculdade de Educaçao Física                      
107212;Estágio Supervisionado na Educaçao Física Infantil                    ;6;29;FEF         ;Faculdade de Educaçao Física                      
107221;Estágio Supersionado na Educaçao Física no Ensino Fundamenta          ;6;29;FEF         ;Faculdade de Educaçao Física                      
107239;Est Sup Educaçao Física no Ensino Médio e na Educ Jovens e Adultos    ;6;29;FEF         ;Faculdade de Educaçao Física                      
107247;Fund do Desenv e Aprend Apl a Edu Fís  Ensino Médio e na EJA          ;4;29;FEF         ;Faculdade de Educaçao Física                      
107255;Seminário de Pesquisa em Educaçao Física                              ;4;29;FEF         ;Faculdade de Educaçao Física                      
107263;Memórias Gastronômicas e Gustativas                                   ;4;56;CET         ;Centro de Excelencia em Turismo                   
107271;Projeto Integrador em Turismo 4                                       ;4;56;CET         ;Centro de Excelencia em Turismo                   
107280;Crítica e História da Arte no Brasil 3                                ;4;163;VIS         ;Departamento de Artes Visuais                     
107298;Elaboraçao de Projetos em Turismo                                     ;4;56;CET         ;Centro de Excelencia em Turismo                   
107301;Teoria, Crítica e História da Arte 5                                  ;4;163;VIS         ;Departamento de Artes Visuais                     
107310;Arte e Antropologia                                                   ;4;163;VIS         ;Departamento de Artes Visuais                     
107328;Teoria e História da Arte e da Imagem no Espaço/Tempo 4               ;4;163;VIS         ;Departamento de Artes Visuais                     
107336;Processos Cognitivos: Cinésio-Fisiopatologia                          ;2;96;FCE         ;UnB - Faculdade da Ceilândia                      
107344;Métodos Estatísticos 2                                                ;4;107;EST         ;Departamento de Estatística                       
107352;Análise Multivariada 2                                                ;4;107;EST         ;Departamento de Estatística                       
107361;Práticas de Ensino em Citopatologia                                   ;4;32;FMD         ;Faculdade de Medicina                             
107379;Parasitologia Veterinária                                             ;4;30;FAV         ;Faculdade de Agronomia e Medicina Veterinária     
107387;Evoluçao Humana                                                       ;4;111;IBD         ;Direçao do Instituto Ciencias Biológicas          
107395;Tópicos Especiais em Agronomia                                        ;2;30;FAV         ;Faculdade de Agronomia e Medicina Veterinária     
107409;Tópicos Especiais em Jogos Digitais                                   ;4;95;FGA         ;UnB - Faculdade do Gama                           
107417;Tópicos Especiais em Sistemas Críticos                                ;4;95;FGA         ;UnB - Faculdade do Gama                           
107425;Dinâmica dos Gases para Sistemas Aeroespaciais                        ;4;95;FGA         ;UnB - Faculdade do Gama                           
107433;Projeto de Sistemas de Controle                                       ;4;95;FGA         ;UnB - Faculdade do Gama                           
107441;Mecânica do Vôo                                                       ;4;95;FGA         ;UnB - Faculdade do Gama                           
107450;Métodos e Técnicas da Escrita Científica                              ;4;95;FGA         ;UnB - Faculdade do Gama                           
107468;Processos Petroquímicos                                               ;4;95;FGA         ;UnB - Faculdade do Gama                           
107476;Recuperaçao e Reabilitaçao de Áreas Degradadas por Mineraçao          ;2;137;ENC         ;Departamento de Engenharia Civil e Ambiental      
107484;Controle de Processos                                                 ;4;138;ENE         ;Departamento de Engenharia Elétrica.              
107492;Instrumentaçao de Controle de Processos                               ;4;138;ENE         ;Departamento de Engenharia Elétrica.              
107506;Laboratório de Controle de Processos                                  ;2;138;ENE         ;Departamento de Engenharia Elétrica.              
107514;Análise Instrumental Teórica e Experimental                           ;4;21;FS          ;Faculdade de Ciencias da Saúde                    
107522;Práticas Musicais Coletivas                                           ;2;165;MUS         ;Departamento de Música                            
107531;Projeto de Trabalho de Conclusao de Curso - Bacharelado               ;4;29;FEF         ;Faculdade de Educaçao Física                      
107549;Trabalho de Conclusao de Curso - Bacharelado                          ;4;29;FEF         ;Faculdade de Educaçao Física                      
107557;Prática de Apoio a Física 2 - 1                                       ;2;31;IFD         ;Instituto de Física                               
107565;Prática de Apoio a Física 2 - 2                                       ;2;31;IFD         ;Instituto de Física                               
107573;Prática de Apoio a Física 2 - 3                                       ;2;31;IFD         ;Instituto de Física                               
107581;Raciocinio Clínico de Enfermagem                                      ;4;232;ENF         ;Departamento de Enfermagem                        
107590;Estágio Supervisionado 1                                              ;28;232;ENF         ;Departamento de Enfermagem                        
107603;Estágio Supervisionado 2                                              ;26;232;ENF         ;Departamento de Enfermagem                        
107611;Tópicos em Bioquímica 1                                               ;4;111;IBD         ;Direçao do Instituto Ciencias Biológicas          
107620;Práticas Inovadoras no Ensino de Geografia                            ;4;16;IH          ;Instituto de Ciencias Humanas                     
107638;Elaboraçao do Projeto de Trabalho de Conclusao do Curso - Licenciatura;2;29;FEF         ;Faculdade de Educaçao Física                      
107646;Execuçao do Projeto de Trabalho de Conclusao do Curso Licenciatura    ;2;29;FEF         ;Faculdade de Educaçao Física                      
107654;Trabalho de Conclusao de Curso - Licenciatura                         ;2;29;FEF         ;Faculdade de Educaçao Física                      
107662;Estágio Sup em Assistencia Farmaceutica na Atençao Primária em Saúde  ;4;96;FCE         ;UnB - Faculdade da Ceilândia                      
107671;Engenharia Metabólica                                                 ;2;218;CEL         ;Departamento de Biologia Celular                  
107689;Tópicos Especiais em Biblioteconomia e Ciencia da Informaçao          ;4;33;FCI         ;Faculdade de Ciencia da Informaçao                
107697;Métodos da Física Experimental                                        ;4;31;IFD         ;Instituto de Física                               
107701;Fundamentos Matemáticos da Física A                                   ;4;31;IFD         ;Instituto de Física                               
107719;Fundamentos Matemáticos da Física B                                   ;4;31;IFD         ;Instituto de Física                               
107727;Ondas, Óptica e Termodinâmica                                         ;6;31;IFD         ;Instituto de Física                               
107735;Laboratório de Instrumentaçao Científica A                            ;4;31;IFD         ;Instituto de Física                               
107743;Mecânica Clássica A                                                   ;4;31;IFD         ;Instituto de Física                               
107751;Laboratório de Mecânica                                               ;4;31;IFD         ;Instituto de Física                               
107760;Física Matemática A                                                   ;4;31;IFD         ;Instituto de Física                               
107778;Relatividade e Física Quântica                                        ;6;31;IFD         ;Instituto de Física                               
107786;Mecânica Clássica B                                                   ;4;31;IFD         ;Instituto de Física                               
107794;Métodos Computacionais A                                              ;4;31;IFD         ;Instituto de Física                               
107808;Laboratório de Física Moderna                                         ;4;31;IFD         ;Instituto de Física                               
107816;Laboratório de Oscilaçoes, Ondas e Fluidos                            ;4;31;IFD         ;Instituto de Física                               
107824;Física Matemática B                                                   ;4;31;IFD         ;Instituto de Física                               
107832;Mecânica Quântica A                                                   ;4;31;IFD         ;Instituto de Física                               
107841;Teoria Eletromagnética A                                              ;4;31;IFD         ;Instituto de Física                               
107859;Laboratório de Eletromagnetismo A                                     ;4;31;IFD         ;Instituto de Física                               
107867;Laboratório de Termodinâmcia e Física Estatística                     ;4;31;IFD         ;Instituto de Física                               
107875;Termoestatística                                                      ;4;31;IFD         ;Instituto de Física                               
107883;Teoria Eletromagnética B                                              ;4;31;IFD         ;Instituto de Física                               
107891;Mecânica Quântica B                                                   ;6;31;IFD         ;Instituto de Física                               
107905;Termodinâmica e Física Estatística                                    ;4;31;IFD         ;Instituto de Física                               
107913;Laboratório de Óptica e Fotônica                                      ;4;31;IFD         ;Instituto de Física                               
107921;Laboratório de Espectroscopia A                                       ;4;31;IFD         ;Instituto de Física                               
107930;História e Filosofia da Física                                        ;4;31;IFD         ;Instituto de Física                               
107948;Laboratório de Espectroscopia B                                       ;4;31;IFD         ;Instituto de Física                               
107956;Laboratório de Eletromagnetismo B                                     ;4;31;IFD         ;Instituto de Física                               
