sigla_departamento;nome_departamento;cod_faculdade;nome_faculdade;cod_materia;periodo;prioridade
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;209091;5;25
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;205338;5;26
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;204889;5;27
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;204854;5;28
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;204871;5;29
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;204862;5;30
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;204897;5;31
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;204960;6;32
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;204943;6;33
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;204951;6;34
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;204978;6;35
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;204986;6;36
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;205052;7;37
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;205061;7;38
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;205044;7;39
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;205079;7;40
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;205087;7;41
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;205133;8;42
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;205141;8;43
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;205150;8;44
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;205168;8;45
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;207039;8;46
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;181129;1;1
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;113018;1;2
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;140481;1;2
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;184021;1;2
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;132012;1;3
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;181684;2;2
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;186287;2;2
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;181013;2;3
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;115011;2;4
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;134465;2;4
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;181137;3;3
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;132144;3;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;186279;3;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;181722;4;4
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;186244;4;4
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;186210;4;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;184080;4;6
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;181242;5;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;186295;5;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;184691;5;6
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;186716;5;6
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;181641;6;6
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;186261;6;6
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;181757;6;7
