DESCRICAO_CARGO
AAD - AUXILIAR DE RECURSOS HUMANOS
AAD-AUX DE RECURSOS MATERIAIS
AAD-AUXILIAR ADMINISTRATIVO
AAD-AUXILIAR DE OPERACOES
AAD-AUXILIAR DE RECURSOS FINANCEIROS
ADMINIST - ADMINISTRADOR
ADMINISTRACAO E PLANEJAMENTO
ADMINISTRADOR
ADVOGADO
ADVOGADO - 40H
ADVOGADO DA UNIAO
AG INSP SANIT E IND PROD ORIG ANIMAL
AG TELECOMUNIC E ELETRICIDADE
AGENTE ADMINISTRATIVO
AGENTE ADMINISTRATIVO I
AGENTE ADMINISTRATIVO II
AGENTE ADMINISTRATIVO III
AGENTE ADMINISTRATIVO VI
AGENTE ANALISTA GRAF FIS SUP
AGENTE ATIV AGROPECUARIAS
AGENTE AUX DE SAUDE PUBLICA
AGENTE DE ADMINISTRACAO
AGENTE DE ATIV AGROPECUARIAS
AGENTE DE ATIVIDADE AGROPECUARIA
AGENTE DE ATIVIDADES AGROPECUARIAS
AGENTE DE COMBATE AS ENDEMIAS
AGENTE DE ESTACAO
AGENTE DE INFORMATICA
AGENTE DE INSP SANIT IND PROD ORIGEM ANI
AGENTE DE LIMP E CONSERVACAO
AGENTE DE POLICIA CIVIL ESPECIAL
AGENTE DE PORTARIA
AGENTE DE SAUDE
AGENTE DE SAUDE PUBLICA
AGENTE DE SEGURANCA I
AGENTE DE SERV COMPLEMENTARES
AGENTE DE SERV DE ENGENHARIA
AGENTE DE SERVICOS DIVERSOS
AGENTE DE SERVICOS GERAIS
AGENTE DE TELECOMUNIC E ELETRICIDADE
AGENTE DE TRANSP MARITIMO E FLUVIAL
AGENTE DE VIGILANCIA
AGENTE DE VIGILANCIA - NA
AGENTE EM INDIGENISMO
AGENTE EXECUTIVO - NI - CVM
AGENTE EXECUTIVO -NI- SUSEP
AGENTE METROV - CONTROLE DE ESTACAO
AGENTE METROV - CONTROLE OPER GERAL
AGENTE METROV - OPERACAO DE ESTACAO
AGENTE METROV - SEGURANCA METROVIARIA
AGENTE SERVICOS ENGENHARIA
AGENTE TELEC ELETRICIDADE
AJUDANTE DE MECANICA
AJUDANTE DE SERVICO
AJUDANTE DE SERVICO DE APOIO
AJUDANTE MANUT OBRAS
AJUSTADOR MECANICO
ALMOXARIFE
ANALISTA
ANALISTA - ANALISTA DE CONTABILIDADE
ANALISTA - ANALISTA DE OPERACOES
ANALISTA - ANALISTA DE PLANEJAMENTO
ANALISTA - ENGENHEIRO AGRONOMO-AGRICOLA
ANALISTA - PROCURADOR
ANALISTA ADMINISTRATIVO
ANALISTA ADMINISTRATIVO - 40H
ANALISTA AMBIENTAL
ANALISTA CENSITARIO - NS - LEI 8745-93
ANALISTA DE COMERCIO EXTERIOR
ANALISTA DE GESTAO CORPORATIVA
ANALISTA DE GESTAO EM PESQ INVEST BIOMED
ANALISTA DE GESTAO EM SAUDE
ANALISTA DE INFRA-ESTRUTURA
ANALISTA DE PLANEJAMENTO E ORCAMENTO
ANALISTA DE RELACOES INTERNACIONAIS
ANALISTA DE SISTEMA
ANALISTA DE SISTEMAS
ANALISTA DE TEC DA INFORMACAO
ANALISTA DESENV TECN NUCLEAR E DEFESA
ANALISTA DO BANCO CENTRAL
ANALISTA DO SEGURO SOCIAL
ANALISTA EM CIENCIA E TECNOLOGIA
ANALISTA EM DESENVOLVIMENTO REGIONAL
ANALISTA EM GEOCIENCIA
ANALISTA EM INFRA-ESTRUT DE TRANSPORTES
ANALISTA ESP SERVS ECONOM
ANALISTA EXEC EM METROLOGIA E QUALIDADE
ANALISTA I
ANALISTA II - 40HORAS
ANALISTA PLAN GEST INF EST PROP INDUSTRI
ANALISTA PLAN GEST INF INFOR GEOG ESTATI
ANALISTA REFORMA DESENV AGRARIO
ANALISTA TECNICO ADMINISTRATIVO
ANALISTA TECNICO DA SUSEP
ANALISTA TECNICO DE POLITICAS SOCIAIS
ANALISTA TECNICO-ADMINISTRATIVO
ANALISTA TRIBUTARIO REC FEDERAL BRASIL
ANALISTA-A
ANALISTA-B
ANG-ANALISTA DE GESTAO
ANT-ANALISTA TECNICO
APRENDIZ DO SENAI
ARMADOR
ARMAZENISTA
ARQUITETO E URBANISTA
ARQUIVISTA
ARTIF DE CARPINT E MARCENARIA
ARTIF DE CARPINT MARCENARIA
ARTIF DE ELETRIC E COMUNICACAO
ARTIF DE ELETRIC E COMUNICACOES
ARTIF DE ESTRUT DE OBRAS E METALURGIA
ARTIF DE ESTRUT DE OBRAS METALURGIA
ARTIF DE MANUTENCAO
ARTIF DE MUNICAO E PIROTECNIA
