id_objeto,id_sujeito,id_termo,id_objeto_tipo,desc_objeto,id_coluna
48243,39382,28,1,2,18
48244,39382,4,2,"Departamento de Odontologia",21
48245,39383,14,1,"Design de Interaçao",17
48246,39383,28,1,4,18
48247,39383,4,2,"Departamento de Desenho Industrial",21
48248,39384,14,1,"Projeto de Extensao em Música 1",17
48249,39384,28,1,4,18
48250,39384,4,2,"Departamento de Música",21
48251,39385,14,1,"Projeto de Extensao em Música 2",17
48252,39385,28,1,4,18
48253,39385,4,2,"Departamento de Música",21
48254,39386,14,1,"Introduçao aos Cuidados Paliativos",17
48255,39386,28,1,2,18
48256,39386,4,2,"UnB - Faculdade da Ceilândia",21
48257,39387,14,1,"Estágio Curricular Supervisionado em Enfermagem 2",17
48258,39387,28,1,18,18
48259,39387,4,2,"UnB - Faculdade da Ceilândia",21
48260,39388,14,1,"Introduçao a Análise e ao Apoio Institucional em Saúde",17
48261,39388,28,1,2,18
48262,39388,4,2,"UnB - Faculdade da Ceilândia",21
48263,39389,14,1,"Seguridade Social 3 - Assistencia Social",17
48264,39389,28,1,4,18
48265,39389,4,2,"Departamento de Serviço Social",21
48266,39390,14,1,"Tópicos Especiais em Comunicaçao Organizacional 2",17
48267,39390,28,1,2,18
48268,39390,4,2,"Faculdade de Comunicaçao",21
48269,39391,14,1,Nanobiotecnologia,17
48270,39391,28,1,2,18
48271,39391,4,2,"Departamento de Genética e Morfologia",21
48272,39392,14,1,"Práticas em Virologia Molecular",17
48273,39392,28,1,6,18
48274,39392,4,2,"Faculdade de Ciencias da Saúde",21
48275,39393,14,1,"A Uniao Européia e a Cooperaçao Internacional",17
48276,39393,28,1,4,18
48277,39393,4,2,"Centro de Estudos Avançados e Multidisciplinares",21
48278,39394,14,1,"Budismo Hinayana",17
48279,39394,28,1,4,18
48280,39394,4,2,"Centro de Estudos Avançados e Multidisciplinares",21
48281,39395,14,1,"Introduçao r Computaçao Aplicada aos Processos Químicos",17
48282,39395,28,1,4,18
48283,39395,4,2,"Instituto de Química",21
48284,39396,14,1,"Trabalho de Conclusao de Curso 1",17
48285,39396,28,1,4,18
48286,39396,4,2,"Departamento de História",21
48287,39397,14,1,"Tópico de Metodologia de História Social",17
48288,39397,28,1,4,18
48289,39397,4,2,"Departamento de História",21
48290,39398,14,1,"Prática de Ensino de História 2",17
48291,39398,28,1,11,18
48292,39398,4,2,"Departamento de História",21
48293,39399,14,1,"Gestao de Resíduos Agroindustriais",17
48294,39399,28,1,4,18
48295,39399,4,2,"Faculdade de Agronomia e Medicina Veterinária",21
48296,39400,14,1,"Introduçao r Pesquisa em Música",17
48297,39400,28,1,2,18
48298,39400,4,2,"Departamento de Música",21
48299,39401,14,1,"Timor-Leste: Natureza, Cultura, Linguagem e Identidade",17
48300,39401,28,1,4,18
48301,39401,4,2,"Centro de Estudos Avançados e Multidisciplinares",21
48302,39402,14,1,"Teorias Filosóficas da Linguagem",17
48303,39402,28,1,6,18
48304,39402,4,2,"Departamento de Filosofia",21
48305,39403,14,1,"Pesquisa em Traduçao",17
48306,39403,28,1,4,18
48307,39403,4,2,"Departamento de Línguas Estrangeiras e Traduçao",21
48308,39404,14,1,"Filosofia Contemporânea",17
48309,39404,28,1,6,18
48310,39404,4,2,"Departamento de Filosofia",21
48311,39405,14,1,"Traduçao de Textos Literários",17
48312,39405,28,1,4,18
48313,39405,4,2,"Departamento de Línguas Estrangeiras e Traduçao",21
48314,39406,14,1,"Estágio Pedagógico Supervisionado 1",17
48315,39406,28,1,6,18
48316,39406,4,2,"Departamento de Filosofia",21
48317,39407,14,1,"Versao de Textos Literários",17
48318,39407,28,1,4,18
48319,39407,4,2,"Departamento de Línguas Estrangeiras e Traduçao",21
48320,39408,14,1,"Estágio Supervisionado no Ensino de Biologia",17
48321,39408,28,1,6,18
48322,39408,4,2,"Direçao do Instituto Ciencias Biológicas",21
48323,39409,14,1,Evoluçao,17
48324,39409,28,1,2,18
48325,39409,4,2,"Direçao do Instituto Ciencias Biológicas",21
