sigla_departamento;nome_departamento;cod_curso;nome_curso;vigencia_inicio;vigencia_fim;cod_habilitacao;nome_habilitacao;vigencia_habilitacao_inicio;vigencia_opcao_fim;cod_disciplina;periodo;prioridade
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;19891;-;8150;ADMINISTRAÇÃO                                                         ;20172;-;202380;4;19
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;19891;-;8150;ADMINISTRAÇÃO                                                         ;20172;-;181307;5;20
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;19891;-;8150;ADMINISTRAÇÃO                                                         ;20172;-;184021;5;21
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;19891;-;8150;ADMINISTRAÇÃO                                                         ;20172;-;181064;5;22
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;19891;-;8150;ADMINISTRAÇÃO                                                         ;20172;-;134601;5;23
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;19891;-;8150;ADMINISTRAÇÃO                                                         ;20172;-;202134;6;24
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;19891;-;8150;ADMINISTRAÇÃO                                                         ;20172;-;186040;6;25
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;19891;-;8150;ADMINISTRAÇÃO                                                         ;20172;-;181188;6;26
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;19891;-;8150;ADMINISTRAÇÃO                                                         ;20172;-;181102;6;27
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;19891;-;8150;ADMINISTRAÇÃO                                                         ;20172;-;186805;7;28
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;19891;-;8150;ADMINISTRAÇÃO                                                         ;20172;-;202126;8;29
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204145;1;1
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204153;1;2
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204161;1;3
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204170;1;4
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204188;1;5
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204196;1;6
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;204684;2;7
ADM         ;Departamento de Administração                     ;1546;Administração Pública                                                 ;20102;-;8087;Administração Pública                                                 ;20102;-;180041;2;8
